mu_GeV,field_name,E_field_V_per_m,log_rate_standard,log_rate_liv,enhancement_factor,log_enhancement,observable_standard,observable_liv,exponential_enhancement,net_enhancement_db,model,coupling
9.236708571873846e+16,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
9.236708571873846e+16,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
9.236708571873846e+16,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
9.236708571873846e+16,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
1.4873521072935117e+17,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
1.4873521072935117e+17,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1.4873521072935117e+17,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
1.4873521072935117e+17,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1.4873521072935117e+17,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
2.395026619987491e+17,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
2.395026619987491e+17,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
2.395026619987491e+17,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
2.395026619987491e+17,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
2.395026619987491e+17,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
3.8566204211634566e+17,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
3.8566204211634566e+17,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
3.8566204211634566e+17,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
3.8566204211634566e+17,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
