mu_scale_GeV,model,threshold,E_critical_standard_V_per_m,E_critical_polymer_V_per_m,enhancement_factor
4832930238571752.0,quadratic,-20,29544079988.8038,29544079988.8038,1.0
1.438449888287666e+16,quadratic,-20,29544079988.8038,29544079988.8038,1.0
4.281332398719396e+16,quadratic,-20,29544079988.8038,29544079988.8038,1.0
1.2742749857031322e+17,quadratic,-20,29544079988.8038,29544079988.8038,1.0
3.792690190732238e+17,quadratic,-20,29544079988.8038,29544079988.8038,1.0
1.128837891684693e+18,quadratic,-20,29544079988.8038,29544079988.8038,1.0
3.359818286283788e+18,quadratic,-20,29544079988.8038,29544079988.8038,1.0
1e+19,quadratic,-20,29544079988.8038,29544079988.8038,1.0
10000000000.0,quadratic,-10,58178800743.449356,58178800743.449356,1.0
29763514416.31313,quadratic,-10,58178800743.449356,58178800743.449356,1.0
88586679041.00832,quadratic,-10,58178800743.449356,58178800743.449356,1.0
263665089873.03555,quadratic,-10,58178800743.449356,58178800743.449356,1.0
784759970351.4623,quadratic,-10,58178800743.449356,58178800743.449356,1.0
2335721469090.121,quadratic,-10,58178800743.449356,58178800743.449356,1.0
6951927961775.591,quadratic,-10,58178800743.449356,58178800743.449356,1.0
20691380811147.902,quadratic,-10,58178800743.449356,58178800743.449356,1.0
61584821106602.55,quadratic,-10,58178800743.449356,58178800743.449356,1.0
183298071083243.75,quadratic,-10,58178800743.449356,58178800743.449356,1.0
545559478116851.44,quadratic,-10,58178800743.449356,58178800743.449356,1.0
1623776739188717.5,quadratic,-10,58178800743.449356,58178800743.449356,1.0
4832930238571752.0,quadratic,-10,58178800743.449356,58178800743.449356,1.0
1.438449888287666e+16,quadratic,-10,58178800743.449356,58178800743.449356,1.0
4.281332398719396e+16,quadratic,-10,58178800743.449356,58178800743.449356,1.0
1.2742749857031322e+17,quadratic,-10,58178800743.449356,58178800743.449356,1.0
3.792690190732238e+17,quadratic,-10,58178800743.449356,58178800743.449356,1.0
1.128837891684693e+18,quadratic,-10,58178800743.449356,58178800743.449356,1.0
3.359818286283788e+18,quadratic,-10,58178800743.449356,58178800743.449356,1.0
1e+19,quadratic,-10,58178800743.449356,58178800743.449356,1.0
10000000000.0,exponential,-100,5885315775.19145,5885315775.19145,1.0
29763514416.31313,exponential,-100,5885315775.19145,5885315775.19145,1.0
88586679041.00832,exponential,-100,5885315775.19145,5885315775.19145,1.0
263665089873.03555,exponential,-100,5885315775.19145,5885315775.19145,1.0
784759970351.4623,exponential,-100,5885315775.19145,5885315775.19145,1.0
2335721469090.121,exponential,-100,5885315775.19145,5885315775.19145,1.0
6951927961775.591,exponential,-100,5885315775.19145,5885315775.19145,1.0
20691380811147.902,exponential,-100,5885315775.19145,5885315775.19145,1.0
61584821106602.55,exponential,-100,5885315775.19145,5885315775.19145,1.0
183298071083243.75,exponential,-100,5885315775.19145,5885315775.19145,1.0
545559478116851.44,exponential,-100,5885315775.19145,5885315775.19145,1.0
1623776739188717.5,exponential,-100,5885315775.19145,5885315775.19145,1.0
4832930238571752.0,exponential,-100,5885315775.19145,5885315775.19145,1.0
1.438449888287666e+16,exponential,-100,5885315775.19145,5885315775.19145,1.0
4.281332398719396e+16,exponential,-100,5885315775.19145,5885315775.19145,1.0
1.2742749857031322e+17,exponential,-100,5885315775.19145,5885315775.19145,1.0
3.792690190732238e+17,exponential,-100,5885315775.19145,5885315775.19145,1.0
1.128837891684693e+18,exponential,-100,5885315775.19145,5885315775.19145,1.0
3.359818286283788e+18,exponential,-100,5885315775.19145,5885315775.19145,1.0
1e+19,exponential,-100,5885315775.19145,5885315775.19145,1.0
10000000000.0,exponential,-50,11589483034.398117,11589483034.398117,1.0
29763514416.31313,exponential,-50,11589483034.398117,11589483034.398117,1.0
88586679041.00832,exponential,-50,11589483034.398117,11589483034.398117,1.0
263665089873.03555,exponential,-50,11589483034.398117,11589483034.398117,1.0
784759970351.4623,exponential,-50,11589483034.398117,11589483034.398117,1.0
2335721469090.121,exponential,-50,11589483034.398117,11589483034.398117,1.0
6951927961775.591,exponential,-50,11589483034.398117,11589483034.398117,1.0
20691380811147.902,exponential,-50,11589483034.398117,11589483034.398117,1.0
61584821106602.55,exponential,-50,11589483034.398117,11589483034.398117,1.0
183298071083243.75,exponential,-50,11589483034.398117,11589483034.398117,1.0
545559478116851.44,exponential,-50,11589483034.398117,11589483034.398117,1.0
1623776739188717.5,exponential,-50,11589483034.398117,11589483034.398117,1.0
4832930238571752.0,exponential,-50,11589483034.398117,11589483034.398117,1.0
1.438449888287666e+16,exponential,-50,11589483034.398117,11589483034.398117,1.0
4.281332398719396e+16,exponential,-50,11589483034.398117,11589483034.398117,1.0
1.2742749857031322e+17,exponential,-50,11589483034.398117,11589483034.398117,1.0
3.792690190732238e+17,exponential,-50,11589483034.398117,11589483034.398117,1.0
1.128837891684693e+18,exponential,-50,11589483034.398117,11589483034.398117,1.0
3.359818286283788e+18,exponential,-50,11589483034.398117,11589483034.398117,1.0
1e+19,exponential,-50,11589483034.398117,11589483034.398117,1.0
10000000000.0,exponential,-20,29544079988.8038,29544079988.8038,1.0
